"OBJECTID","Reference","Sampling_Date","Gear","ExDate","Bluefish","Common.Snook","Mullets","Pinfish","Red.Drum","Sand.Seatrout"
2757591,"TBM2016101301","2016-10-03 20:00:00",160,"2018-04-12 07:06:53",0,0,0,0,1,0
2757598,"TBM2016101307","2016-10-03 20:00:00",160,"2018-04-12 07:06:53",0,5,0,0,0,0
2757768,"TBM2016102009","2016-10-24 20:00:00",20,"2018-04-12 07:07:08",0,0,0,0,1,0
2757769,"TBM2016102010","2016-10-24 20:00:00",20,"2018-04-12 07:07:08",0,0,0,0,5,0
2757773,"TBM2016102015","2016-10-24 20:00:00",300,"2018-04-12 07:07:08",0,0,0,0,0,6
2757840,"TBM2016110909","2016-11-14 19:00:00",20,"2018-04-12 07:07:08",0,0,0,0,17,0
2757849,"TBM2016111102","2016-11-14 19:00:00",20,"2018-04-12 07:07:08",0,0,0,0,1,0
2757993,"TBM2016121203","2016-12-04 19:00:00",160,"2018-04-12 07:07:20",0,0,0,8,0,0
2758083,"TBM2016101302","2016-10-03 20:00:00",160,"2018-04-12 07:07:01",0,52,0,0,0,0
2758131,"TBM2016102006","2016-10-24 20:00:00",300,"2018-04-12 07:07:03",0,0,0,0,0,7
2758140,"TBM2016102016","2016-10-24 20:00:00",300,"2018-04-12 07:07:03",0,0,0,0,0,3
2758174,"TBM2016110405","2016-11-06 19:00:00",160,"2018-04-12 07:07:03",0,0,0,0,1,0
2758196,"TBM2016110906","2016-11-14 19:00:00",300,"2018-04-12 07:07:03",0,0,0,0,1,0
2758284,"TBM2016081405","2016-08-23 20:00:00",160,"2018-04-12 07:06:43",0,23,0,0,0,0
2758327,"TBM2016082203","2016-08-16 20:00:00",20,"2018-04-12 07:07:00",0,0,0,3,0,0
2758402,"TBM2016091104","2016-09-20 20:00:00",20,"2018-04-12 07:07:00",0,0,0,0,9,0
2758471,"TBM2016120102","2016-12-06 19:00:00",160,"2018-04-12 07:07:04",0,11,0,0,0,0
2758888,"TBM2016092002","2016-09-20 20:00:00",300,"2018-04-12 07:07:00",0,0,0,4,0,0
2758892,"TBM2016092006","2016-09-20 20:00:00",300,"2018-04-12 07:07:00",0,0,0,0,0,18
2758993,"TBM2016101302","2016-10-03 20:00:00",160,"2018-04-12 07:07:06",0,0,0,5,0,0
2759082,"TBM2016101301","2016-10-03 20:00:00",160,"2018-04-12 07:07:00",0,17,0,0,0,0
2759086,"TBM2016101305","2016-10-03 20:00:00",20,"2018-04-12 07:07:00",0,0,0,1,0,0
2759135,"TBM2016102008","2016-10-24 20:00:00",20,"2018-04-12 07:07:01",0,0,0,0,2,0
2759211,"TBM2016111101","2016-11-14 19:00:00",20,"2018-04-12 07:07:01",0,0,0,0,3,0
2759289,"TBM2016100506","2016-10-25 20:00:00",300,"2018-04-12 07:06:54",0,0,0,0,0,1
2759356,"TBM2016101303","2016-10-03 20:00:00",20,"2018-04-12 07:06:54",0,0,0,1,0,0
2759443,"TBM2016110404","2016-11-06 19:00:00",20,"2018-04-12 07:06:54",0,0,0,0,3,0
2759456,"TBM2016102002","2016-10-24 20:00:00",300,"2018-04-12 07:07:11",0,0,0,0,0,2
2759457,"TBM2016102005","2016-10-24 20:00:00",300,"2018-04-12 07:07:11",0,0,0,0,0,4
2759501,"TBM2016110403","2016-11-06 19:00:00",160,"2018-04-12 07:07:12",0,0,0,0,1,0
2759506,"TBM2016110405","2016-11-06 19:00:00",160,"2018-04-12 07:07:12",0,0,0,4,0,0
2759530,"TBM2016110902","2016-11-14 19:00:00",20,"2018-04-12 07:07:31",0,0,0,0,1,0
2759531,"TBM2016110903","2016-11-14 19:00:00",20,"2018-04-12 07:07:31",0,0,0,0,31,0
2759546,"TBM2016111103","2016-11-14 19:00:00",20,"2018-04-12 07:07:31",0,0,0,0,1,0
2759707,"TBM2016101301","2016-10-03 20:00:00",160,"2018-04-12 07:07:11",0,0,0,362,0,0
2759709,"TBM2016101303","2016-10-03 20:00:00",20,"2018-04-12 07:07:11",0,0,0,0,7,0
2759786,"TBM2016110406","2016-11-06 19:00:00",160,"2018-04-12 07:07:11",0,0,0,60,0,0
2759789,"TBM2016110507","2016-11-08 19:00:00",20,"2018-04-12 07:07:11",0,0,0,5,0,0
2759889,"TBM2016111104","2016-11-14 19:00:00",20,"2018-04-12 07:07:15",0,0,0,1,0,0
2759890,"TBM2016111104","2016-11-14 19:00:00",20,"2018-04-12 07:07:15",0,0,0,0,2,0
2759894,"TBM2016111112","2016-11-14 19:00:00",300,"2018-04-12 07:07:15",0,0,0,0,1,0
2759896,"TBM2016111114","2016-11-14 19:00:00",20,"2018-04-12 07:07:15",0,0,0,0,3,0
2759955,"TBM2016120102","2016-12-06 19:00:00",160,"2018-04-12 07:07:16",0,0,0,14,0,0
2759970,"TBM2016120217","2016-12-11 19:00:00",20,"2018-04-12 07:07:16",0,0,0,0,2,0
2760077,"TBM2016091404","2016-09-25 20:00:00",20,"2018-04-12 07:06:57",0,0,0,1,0,0
2760087,"TBM2016091506","2016-09-08 20:00:00",300,"2018-04-12 07:06:57",0,0,0,0,0,3
2760160,"TBM2016100503","2016-10-25 20:00:00",20,"2018-04-12 07:06:57",0,0,0,0,17,0
2760250,"TBM2016101602","2016-10-16 20:00:00",20,"2018-04-12 07:07:04",0,0,0,7,0,0
2760268,"TBM2016101901","2016-10-16 20:00:00",160,"2018-04-12 07:07:05",0,7,0,0,0,0
2760474,"TBM2016102008","2016-10-24 20:00:00",20,"2018-04-12 07:07:08",0,0,0,1,0,0
2760481,"TBM2016102016","2016-10-24 20:00:00",300,"2018-04-12 07:07:08",0,0,0,3,0,0
2760572,"TBM2016111113","2016-11-14 19:00:00",20,"2018-04-12 07:07:08",0,0,0,0,2,0
2760682,"TBM2016092001","2016-09-20 20:00:00",300,"2018-04-12 07:11:29",0,0,0,0,0,25
2760782,"TBM2016101304","2016-10-03 20:00:00",20,"2018-04-12 07:11:32",0,0,0,0,1,0
2760814,"TBM2016101901","2016-10-16 20:00:00",160,"2018-04-12 07:11:32",0,0,0,51,0,0
2761088,"TBM2016101904","2016-10-16 20:00:00",160,"2018-04-12 07:07:05",0,0,0,210,0,0
2761131,"TBM2016110402","2016-11-06 19:00:00",160,"2018-04-12 07:07:05",0,0,0,372,0,0
2761238,"TBM2016120103","2016-12-06 19:00:00",20,"2018-04-12 07:07:06",0,0,0,0,1,0
2761303,"TBM2016110907","2016-11-14 19:00:00",300,"2018-04-12 07:11:53",0,0,0,0,0,1
2761374,"TBM2016120202","2016-12-11 19:00:00",20,"2018-04-12 07:11:54",0,0,0,0,2,0
2761443,"TBM2016121104","2016-12-04 19:00:00",300,"2018-04-12 07:11:54",0,0,0,0,0,3
2761514,"TBM2016120102","2016-12-06 19:00:00",160,"2018-04-12 07:07:01",0,0,0,0,1,0
2761516,"TBM2016120201","2016-12-11 19:00:00",20,"2018-04-12 07:07:01",0,0,0,1,0,0
2761522,"TBM2016120204","2016-12-11 19:00:00",20,"2018-04-12 07:07:01",0,0,0,0,1,0
