OBJECTID,Reference,Sampling_Date,Latitude,Longitude,Gear,ExDate,Bluefish,Common Snook,Mullets,Pinfish,Red Drum,Sand Seatrout
2581755,TBM2009010802,2009-01-15T00:00:00Z,27.914883,-82.677817,20,2018-04-12T10:41:12Z,0,0,0,0,4,0
2582528,TBM2009030901,2009-03-10T00:00:00Z,27.890083,-82.5422,20,2018-04-12T10:41:47Z,0,0,0,41,0,0
2584190,TBM2008121303,2008-12-17T00:00:00Z,27.96285,-82.68045,20,2018-04-12T10:41:01Z,0,0,0,0,1,0
2584375,TBM2009020901,2009-02-16T00:00:00Z,27.963483,-82.664983,160,2018-04-12T10:41:02Z,0,2,0,0,0,0
2584422,TBM2008120604,2008-12-04T00:00:00Z,27.878983,-82.5954,20,2018-04-12T10:41:04Z,0,0,0,2,0,0
2585183,TBM2009021204,2009-02-17T00:00:00Z,27.924117,-82.53315,20,2018-04-12T10:41:13Z,0,0,0,1,0,0
2585329,TBM2009010804,2009-01-15T00:00:00Z,27.970283,-82.685283,20,2018-04-12T10:40:59Z,0,0,0,1,0,0
2585627,TBM2009020906,2009-02-16T00:00:00Z,28.002817,-82.67455,20,2018-04-12T10:40:59Z,0,0,0,1,0,0
2585636,TBM2009021202,2009-02-17T00:00:00Z,27.944467,-82.71995,300,2018-04-12T10:41:46Z,0,0,0,0,0,8
2585638,TBM2009021205,2009-02-17T00:00:00Z,27.916717,-82.535167,20,2018-04-12T10:41:46Z,0,0,0,37,0,0
2586451,TBM2009010806,2009-01-15T00:00:00Z,28.022967,-82.684717,20,2018-04-12T10:41:04Z,0,0,0,3,0,0
2589277,TBM2009021202,2009-02-17T00:00:00Z,27.944467,-82.71995,300,2018-04-12T10:41:02Z,0,0,0,3,0,0
2597167,TBM2009020903,2009-02-16T00:00:00Z,27.922183,-82.695483,160,2018-04-12T10:44:48Z,0,0,0,0,4,0
2597231,TBM2009030304,2009-03-18T00:00:00Z,27.99965,-82.654983,20,2018-04-12T10:44:48Z,0,0,0,12,0,0
2598139,TBM2009011201,2009-01-23T00:00:00Z,27.942317,-82.700417,300,2018-04-12T10:41:08Z,0,0,0,0,0,1
2598469,TBM2009030804,2009-03-11T00:00:00Z,27.921867,-82.676033,20,2018-04-12T10:41:46Z,0,0,0,3,0,0
2598471,TBM2009030806,2009-03-11T00:00:00Z,27.84525,-82.5812,300,2018-04-12T10:41:46Z,0,0,0,23,0,0
2598540,TBM2009040105,2009-04-01T00:00:00Z,28.02695,-82.66925,300,2018-04-12T10:41:46Z,0,0,0,1,0,0
2599223,TBM2009050101,2009-05-04T00:00:00Z,27.8902,-82.630033,160,2018-04-12T10:41:51Z,0,1,0,0,0,0
2599320,TBM2009030808,2009-03-11T00:00:00Z,27.836767,-82.537483,20,2018-04-12T10:41:13Z,0,0,0,3,0,0
2599456,TBM2009041103,2009-04-08T00:00:00Z,27.8963,-82.534766,20,2018-04-12T10:41:48Z,0,0,0,28,0,0
2599727,TBM2009010803,2009-01-15T00:00:00Z,27.931483,-82.6928,160,2018-04-12T10:41:08Z,0,0,0,2,0,0
2599751,TBM2009011205,2009-01-23T00:00:00Z,28.021183,-82.6666,20,2018-04-12T10:41:08Z,0,0,0,1,0,0
2599839,TBM2009021206,2009-02-17T00:00:00Z,27.915967,-82.533867,20,2018-04-12T10:41:08Z,0,0,0,52,0,0
2600105,TBM2009030802,2009-03-11T00:00:00Z,27.967733,-82.601433,300,2018-04-12T10:44:48Z,0,0,0,2,0,0
